This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
ncfscX3fp            => sp=suff cl=cmn gn=f nu=s st=c ps2=3 gn2=f nu2=p
ncfscX3fs            => sp=suff cl=cmn gn=f nu=s st=c ps2=3 gn2=f nu2=s
ncfscX3mp            => sp=suff cl=cmn gn=f nu=s st=c ps2=3 gn2=m nu2=p
ncfscX3ms            => sp=suff cl=cmn gn=f nu=s st=c ps2=3 gn2=m nu2=s
ncfscXd              => sp=suff cl=cmn gn=f nu=s st=c cl2=d
ncfsd                => sp=subs cl=cmn gn=f nu=s st=d
ncfsdX1cs            => sp=suff cl=cmn gn=f nu=s st=d ps2=1 gn2=c nu2=s
ncfsdX2ms            => sp=suff cl=cmn gn=f nu=s st=d ps2=2 gn2=m nu2=s
ncfsdX3ms            => sp=suff cl=cmn gn=f nu=s st=d ps2=3 gn2=m nu2=s
ncm0                 => sp=subs cl=cmn gn=m nu=unknown
ncm00                => sp=subs cl=cmn gn=m nu=unknown st=unknown
ncm00X0              => sp=suff cl=cmn gn=m nu=unknown st=unknown cl2=unknown
ncm0X3mp             => sp=suff cl=cmn gn=m nu=unknown ps2=3 gn2=m nu2=p
ncm0a                => sp=subs cl=cmn gn=m nu=unknown st=a
ncm0c                => sp=subs cl=cmn gn=m nu=unknown st=c
ncm0cX0              => sp=suff cl=cmn gn=m nu=unknown st=c cl2=unknown
ncm0cX2ms            => sp=suff cl=cmn gn=m nu=unknown st=c ps2=2 gn2=m nu2=s
ncm0cX3fp            => sp=suff cl=cmn gn=m nu=unknown st=c ps2=3 gn2=f nu2=p
ncm0cX3fs            => sp=suff cl=cmn gn=m nu=unknown st=c ps2=3 gn2=f nu2=s
ncm0cX3ms            => sp=suff cl=cmn gn=m nu=unknown st=c ps2=3 gn2=m nu2=s
ncmd                 => sp=subs cl=cmn gn=m nu=d
ncmda                => sp=subs cl=cmn gn=m nu=d st=a
ncmdc                => sp=subs cl=cmn gn=m nu=d st=c
ncmdcX1cp            => sp=suff cl=cmn gn=m nu=d st=c ps2=1 gn2=c nu2=p
ncmdcX1cs            => sp=suff cl=cmn gn=m nu=d st=c ps2=1 gn2=c nu2=s
ncmdcX2fs            => sp=suff cl=cmn gn=m nu=d st=c ps2=2 gn2=f nu2=s
ncmdcX2mp            => sp=suff cl=cmn gn=m nu=d st=c ps2=2 gn2=m nu2=p
ncmdcX2ms            => sp=suff cl=cmn gn=m nu=d st=c ps2=2 gn2=m nu2=s
ncmdcX3fs            => sp=suff cl=cmn gn=m nu=d st=c ps2=3 gn2=f nu2=s
ncmdcX3mp            => sp=suff cl=cmn gn=m nu=d st=c ps2=3 gn2=m nu2=p
ncmdcX3ms            => sp=suff cl=cmn gn=m nu=d st=c ps2=3 gn2=m nu2=s
ncmp                 => sp=subs cl=cmn gn=m nu=p
ncmp0                => sp=subs cl=cmn gn=m nu=p st=unknown
ncmpXd               => sp=suff cl=cmn gn=m nu=p cl2=d
ncmpXh               => sp=suff cl=cmn gn=m nu=p cl2=h
ncmpa                => sp=subs cl=cmn gn=m nu=p st=a
ncmpc                => sp=subs cl=cmn gn=m nu=p st=c
ncmpcX0              => sp=suff cl=cmn gn=m nu=p st=c cl2=unknown
ncmpcX1cp            => sp=suff cl=cmn gn=m nu=p st=c ps2=1 gn2=c nu2=p
ncmpcX1cs            => sp=suff cl=cmn gn=m nu=p st=c ps2=1 gn2=c nu2=s
ncmpcX2fs            => sp=suff cl=cmn gn=m nu=p st=c ps2=2 gn2=f nu2=s
ncmpcX2mp            => sp=suff cl=cmn gn=m nu=p st=c ps2=2 gn2=m nu2=p
ncmpcX2ms            => sp=suff cl=cmn gn=m nu=p st=c ps2=2 gn2=m nu2=s
ncmpcX30             => sp=suff cl=cmn gn=m nu=p st=c ps2=3 gn2=unknown
ncmpcX3fp            => sp=suff cl=cmn gn=m nu=p st=c ps2=3 gn2=f nu2=p
ncmpcX3fs            => sp=suff cl=cmn gn=m nu=p st=c ps2=3 gn2=f nu2=s
ncmpcX3mp            => sp=suff cl=cmn gn=m nu=p st=c ps2=3 gn2=m nu2=p
ncmpcX3ms            => sp=suff cl=cmn gn=m nu=p st=c ps2=3 gn2=m nu2=s
